question,yes_token,no_token,quantity,status,yes_cost,no_cost,total_cost,yes_average_price,no_average_price,gross_profit,gross_profit_pct
Xi Jinping out before 2027?,32338220190071351435772801779725302244575775216413325951443816017994629993401,25659310674993675562345759665114759892400026242514633218387667107987341231962,10,fully_filled,0.39,9.62,10.01,0.039,0.962,-0.009999999999999787,-0.09990009990009778
Xi Jinping out before 2027?,32338220190071351435772801779725302244575775216413325951443816017994629993401,25659310674993675562345759665114759892400026242514633218387667107987341231962,50,fully_filled,1.95,48.1,50.050000000000004,0.039,0.9620000000000001,-0.05000000000000426,-0.0999000999001084
Xi Jinping out before 2027?,32338220190071351435772801779725302244575775216413325951443816017994629993401,25659310674993675562345759665114759892400026242514633218387667107987341231962,100,fully_filled,3.9,96.2,100.10000000000001,0.039,0.9620000000000001,-0.10000000000000853,-0.0999000999001084
Xi Jinping out before 2027?,32338220190071351435772801779725302244575775216413325951443816017994629993401,25659310674993675562345759665114759892400026242514633218387667107987341231962,250,fully_filled,9.75,240.5,250.25,0.039,0.962,-0.25,-0.0999000999000999
Xi Jinping out before 2027?,32338220190071351435772801779725302244575775216413325951443816017994629993401,25659310674993675562345759665114759892400026242514633218387667107987341231962,500,fully_filled,19.5,481.0,500.5,0.039,0.962,-0.5,-0.0999000999000999
Xi Jinping out before 2027?,32338220190071351435772801779725302244575775216413325951443816017994629993401,25659310674993675562345759665114759892400026242514633218387667107987341231962,1000,fully_filled,39.0,962.0,1001.0,0.039,0.962,-1.0,-0.0999000999000999
Will Gavin Newsom win the 2028 Democratic presidential nomination?,54533043819946592547517511176940999955633860128497669742211153063842200957669,87854174148074652060467921081181402357467303721471806610111179101805869578687,10,fully_filled,1.56,8.45,10.01,0.156,0.845,-0.009999999999999787,-0.09990009990009778
Will Gavin Newsom win the 2028 Democratic presidential nomination?,54533043819946592547517511176940999955633860128497669742211153063842200957669,87854174148074652060467921081181402357467303721471806610111179101805869578687,50,fully_filled,7.8,42.25,50.05,0.156,0.845,-0.04999999999999716,-0.09990009990009421
Will Gavin Newsom win the 2028 Democratic presidential nomination?,54533043819946592547517511176940999955633860128497669742211153063842200957669,87854174148074652060467921081181402357467303721471806610111179101805869578687,100,fully_filled,15.6,84.5,100.1,0.156,0.845,-0.09999999999999432,-0.09990009990009421
Will Gavin Newsom win the 2028 Democratic presidential nomination?,54533043819946592547517511176940999955633860128497669742211153063842200957669,87854174148074652060467921081181402357467303721471806610111179101805869578687,250,fully_filled,39.0,211.25,250.25,0.156,0.845,-0.25,-0.0999000999000999
Will Gavin Newsom win the 2028 Democratic presidential nomination?,54533043819946592547517511176940999955633860128497669742211153063842200957669,87854174148074652060467921081181402357467303721471806610111179101805869578687,500,fully_filled,78.0,422.5,500.5,0.156,0.845,-0.5,-0.0999000999000999
Will Gavin Newsom win the 2028 Democratic presidential nomination?,54533043819946592547517511176940999955633860128497669742211153063842200957669,87854174148074652060467921081181402357467303721471806610111179101805869578687,1000,fully_filled,156.0,845.0,1001.0,0.156,0.845,-1.0,-0.0999000999000999
Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,107064985435494333113391038470401719113272800530429703182710416066774068907304,65176072261324737856085688071627118509549293922582857186996392180609764586527,10,fully_filled,1.88,8.19,10.07,0.188,0.819,-0.07000000000000028,-0.6951340615690197
Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,107064985435494333113391038470401719113272800530429703182710416066774068907304,65176072261324737856085688071627118509549293922582857186996392180609764586527,50,fully_filled,9.440000000000001,40.949999999999996,50.39,0.18880000000000002,0.819,-0.39000000000000057,-0.7739630879142698
Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,107064985435494333113391038470401719113272800530429703182710416066774068907304,65176072261324737856085688071627118509549293922582857186996392180609764586527,100,fully_filled,18.89,81.89999999999999,100.78999999999999,0.1889,0.819,-0.789999999999992,-0.7838079174521204
Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,107064985435494333113391038470401719113272800530429703182710416066774068907304,65176072261324737856085688071627118509549293922582857186996392180609764586527,250,fully_filled,47.28,204.75,252.03,0.18912,0.819,-2.030000000000001,-0.8054596674999013
Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,107064985435494333113391038470401719113272800530429703182710416066774068907304,65176072261324737856085688071627118509549293922582857186996392180609764586527,500,fully_filled,94.78,409.67712,504.45712000000003,0.18956,0.81935424,-4.457120000000032,-0.8835478424806515
Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,107064985435494333113391038470401719113272800530429703182710416066774068907304,65176072261324737856085688071627118509549293922582857186996392180609764586527,1000,fully_filled,189.78,821.4648,1011.2447999999999,0.18978,0.8214648,-11.244799999999941,-1.1119760516939066
Will Pete Buttigieg win the 2028 Democratic presidential nomination?,91031279171981959197361710127213577102576826515163085396576756946418341946256,18494065527924073750217237765784380365430319396356251245973222791140100738948,10,fully_filled,0.55,9.48,10.030000000000001,0.05500000000000001,0.9480000000000001,-0.030000000000001137,-0.2991026919242386
Will Pete Buttigieg win the 2028 Democratic presidential nomination?,91031279171981959197361710127213577102576826515163085396576756946418341946256,18494065527924073750217237765784380365430319396356251245973222791140100738948,50,fully_filled,2.75,47.4,50.15,0.055,0.948,-0.14999999999999858,-0.29910269192422445
Will Pete Buttigieg win the 2028 Democratic presidential nomination?,91031279171981959197361710127213577102576826515163085396576756946418341946256,18494065527924073750217237765784380365430319396356251245973222791140100738948,100,fully_filled,5.5,94.8,100.3,0.055,0.948,-0.29999999999999716,-0.29910269192422445
Will Pete Buttigieg win the 2028 Democratic presidential nomination?,91031279171981959197361710127213577102576826515163085396576756946418341946256,18494065527924073750217237765784380365430319396356251245973222791140100738948,250,fully_filled,13.75,237.0,250.75,0.055,0.948,-0.75,-0.29910269192422734
Will Pete Buttigieg win the 2028 Democratic presidential nomination?,91031279171981959197361710127213577102576826515163085396576756946418341946256,18494065527924073750217237765784380365430319396356251245973222791140100738948,500,fully_filled,27.5,474.13181999999995,501.63181999999995,0.055,0.9482636399999999,-1.6318199999999479,-0.32530233030272043
Will Pete Buttigieg win the 2028 Democratic presidential nomination?,91031279171981959197361710127213577102576826515163085396576756946418341946256,18494065527924073750217237765784380365430319396356251245973222791140100738948,1000,fully_filled,55.0,948.6318199999998,1003.6318199999998,0.055,0.9486318199999998,-3.631819999999834,-0.3618677614266788
Will Josh Shapiro win the 2028 Democratic presidential nomination?,71169839497420596285841847514123589847893415750912355173877524195175834054354,55290827599553280245963175724940496753557722439999671239772487781170052583987,10,fully_filled,0.59,9.43,10.02,0.059,0.943,-0.019999999999999574,-0.19960079840318934
Will Josh Shapiro win the 2028 Democratic presidential nomination?,71169839497420596285841847514123589847893415750912355173877524195175834054354,55290827599553280245963175724940496753557722439999671239772487781170052583987,50,fully_filled,2.9499999999999997,47.15,50.1,0.059,0.943,-0.10000000000000142,-0.19960079840319644
Will Josh Shapiro win the 2028 Democratic presidential nomination?,71169839497420596285841847514123589847893415750912355173877524195175834054354,55290827599553280245963175724940496753557722439999671239772487781170052583987,100,fully_filled,5.8999999999999995,94.3,100.2,0.059,0.943,-0.20000000000000284,-0.19960079840319644
Will Josh Shapiro win the 2028 Democratic presidential nomination?,71169839497420596285841847514123589847893415750912355173877524195175834054354,55290827599553280245963175724940496753557722439999671239772487781170052583987,250,fully_filled,14.75,235.75,250.5,0.059,0.943,-0.5,-0.19960079840319359
Will Josh Shapiro win the 2028 Democratic presidential nomination?,71169839497420596285841847514123589847893415750912355173877524195175834054354,55290827599553280245963175724940496753557722439999671239772487781170052583987,500,fully_filled,29.5,471.66506,501.16506,0.059,0.9433301199999999,-1.1650599999999827,-0.2324703162666573
Will Josh Shapiro win the 2028 Democratic presidential nomination?,71169839497420596285841847514123589847893415750912355173877524195175834054354,55290827599553280245963175724940496753557722439999671239772487781170052583987,1000,fully_filled,59.0,945.5553899999999,1004.5553899999999,0.059,0.94555539,-4.555389999999875,-0.45347325248037096
Will Wes Moore win the 2028 Democratic presidential nomination?,90227223115596293448966158151606153337847900483048338623540402385929720677904,105134691322323565615831879054043168027913414000042547943201361115853277749482,10,fully_filled,0.18,9.83,10.01,0.018,0.983,-0.009999999999999787,-0.09990009990009778
Will Wes Moore win the 2028 Democratic presidential nomination?,90227223115596293448966158151606153337847900483048338623540402385929720677904,105134691322323565615831879054043168027913414000042547943201361115853277749482,50,fully_filled,0.8999999999999999,49.15,50.05,0.018,0.983,-0.04999999999999716,-0.09990009990009421
Will Wes Moore win the 2028 Democratic presidential nomination?,90227223115596293448966158151606153337847900483048338623540402385929720677904,105134691322323565615831879054043168027913414000042547943201361115853277749482,100,fully_filled,1.7999999999999998,98.3,100.1,0.018,0.983,-0.09999999999999432,-0.09990009990009421
Will Wes Moore win the 2028 Democratic presidential nomination?,90227223115596293448966158151606153337847900483048338623540402385929720677904,105134691322323565615831879054043168027913414000042547943201361115853277749482,250,fully_filled,4.5,245.75,250.25,0.018,0.983,-0.25,-0.0999000999000999
Will Wes Moore win the 2028 Democratic presidential nomination?,90227223115596293448966158151606153337847900483048338623540402385929720677904,105134691322323565615831879054043168027913414000042547943201361115853277749482,500,fully_filled,9.0,491.60544000000004,500.60544000000004,0.018,0.9832108800000001,-0.6054400000000442,-0.12094155429074924
Will Wes Moore win the 2028 Democratic presidential nomination?,90227223115596293448966158151606153337847900483048338623540402385929720677904,105134691322323565615831879054043168027913414000042547943201361115853277749482,1000,fully_filled,18.0,983.60544,1001.60544,0.018,0.98360544,-1.6054400000000442,-0.1602866693695318
Will Stephen A. Smith win the 2028 Democratic presidential nomination?,60590045489347122735554346200880179420435533609307820342798544098823516727807,76005700027045000587004110133818166617024719626220722682005164003117993034812,10,fully_filled,0.02,9.99,10.01,0.002,0.999,-0.009999999999999787,-0.09990009990009778
Will Stephen A. Smith win the 2028 Democratic presidential nomination?,60590045489347122735554346200880179420435533609307820342798544098823516727807,76005700027045000587004110133818166617024719626220722682005164003117993034812,50,fully_filled,0.1,49.95,50.050000000000004,0.002,0.9990000000000001,-0.05000000000000426,-0.0999000999001084
Will Stephen A. Smith win the 2028 Democratic presidential nomination?,60590045489347122735554346200880179420435533609307820342798544098823516727807,76005700027045000587004110133818166617024719626220722682005164003117993034812,100,fully_filled,0.2,99.9,100.10000000000001,0.002,0.9990000000000001,-0.10000000000000853,-0.0999000999001084
Will Stephen A. Smith win the 2028 Democratic presidential nomination?,60590045489347122735554346200880179420435533609307820342798544098823516727807,76005700027045000587004110133818166617024719626220722682005164003117993034812,250,fully_filled,0.5,249.75,250.25,0.002,0.999,-0.25,-0.0999000999000999
Will Stephen A. Smith win the 2028 Democratic presidential nomination?,60590045489347122735554346200880179420435533609307820342798544098823516727807,76005700027045000587004110133818166617024719626220722682005164003117993034812,500,fully_filled,1.0,499.5,500.5,0.002,0.999,-0.5,-0.0999000999000999
Will Stephen A. Smith win the 2028 Democratic presidential nomination?,60590045489347122735554346200880179420435533609307820342798544098823516727807,76005700027045000587004110133818166617024719626220722682005164003117993034812,1000,fully_filled,2.0,999.0,1001.0,0.002,0.999,-1.0,-0.0999000999000999
