question,yes_token,no_token,quantity,status,yes_cost,no_cost,total_cost,yes_average_price,no_average_price,gross_profit,gross_profit_pct,estimated_fee,slippage_buffer,total_estimated_costs,net_profit,net_roi_pct,profitable_before_costs,profitable_after_costs,profit_per_dollar,break_even_gap,net_profit_rank,net_roi_rank,research_rank
Will Jon Ossoff win the 2028 Democratic presidential nomination?,70071592420137476676935286377781779672157004436137616627487590484756055232944,107829893465244243112531790315844862173967342141753896250561816305880797209350,10,fully_filled,1.7199999999999998,8.29,10.009999999999998,0.172,0.829,-0.009999999999998,-0.09990009990008,0.1000999999999999,0.0200199999999999,0.1201199999999999,-0.130119999999998,-1.29990009990008,False,False,-0.0129990009990008,-1.29990009990008,1,1,1.0
Xi Jinping out before 2027?,32338220190071351435772801779725302244575775216413325951443816017994629993401,25659310674993675562345759665114759892400026242514633218387667107987341231962,10,fully_filled,0.39,9.62,10.01,0.039,0.962,-0.0099999999999997,-0.0999000999000977,0.1001,0.02002,0.1201199999999999,-0.1301199999999996,-1.2999000999000967,False,False,-0.012999000999000958,-1.2999000999000967,2,55,28.5
Will Ruben Gallego win the 2028 Democratic presidential nomination?,94658518227479141344875476648819337938746150529318297759951212169676959854478,89549550119611798541187132573193884477265258658615163602217456913355320927577,10,fully_filled,0.02,9.99,10.01,0.002,0.999,-0.0099999999999997,-0.0999000999000977,0.1001,0.02002,0.1201199999999999,-0.1301199999999996,-1.2999000999000967,False,False,-0.012999000999000958,-1.2999000999000967,2,55,28.5
Will Alexandria Ocasio-Cortez win the 2028 US Presidential Election?,8113830512143065501177519557124858581375945005490796772950589720955457782465,11493926619286817179231142642565394485790380952577225820901334479399429951651,10,fully_filled,1.31,8.7,10.01,0.131,0.8699999999999999,-0.0099999999999997,-0.0999000999000977,0.1001,0.02002,0.1201199999999999,-0.1301199999999996,-1.2999000999000967,False,False,-0.012999000999000958,-1.2999000999000967,2,55,28.5
Will Jasmine Crockett win the 2028 Democratic presidential nomination?,22103094389913052942362639589409218272323168761614999702665821259175535456835,10893367019711826592833821276710094799225035200719824531380610476790390190688,10,fully_filled,0.02,9.99,10.01,0.002,0.999,-0.0099999999999997,-0.0999000999000977,0.1001,0.02002,0.1201199999999999,-0.1301199999999996,-1.2999000999000967,False,False,-0.012999000999000958,-1.2999000999000967,2,55,28.5
Will Pete Buttigieg win the 2028 US Presidential Election?,35629456194498013232473191985311930903993567273832459837879398120893197410860,26087406687932108531005204502244492184534000122992461059156880611150953145122,10,fully_filled,0.27,9.74,10.01,0.027,0.974,-0.0099999999999997,-0.0999000999000977,0.1001,0.02002,0.1201199999999999,-0.1301199999999996,-1.2999000999000967,False,False,-0.012999000999000958,-1.2999000999000967,2,55,28.5
Will Andrew Yang win the 2028 Democratic presidential nomination?,102504892414163237174864879683522880588750452841477290216845150938663289742135,21234886083000978203440582985665409733123024063268807484684316771005736994028,10,fully_filled,0.02,9.99,10.01,0.002,0.999,-0.0099999999999997,-0.0999000999000977,0.1001,0.02002,0.1201199999999999,-0.1301199999999996,-1.2999000999000967,False,False,-0.012999000999000958,-1.2999000999000967,2,55,28.5
Will Michelle Obama win the 2028 US Presidential Election?,88521269813605705303364598280494261510300497312149869577251450871617962933121,1970496541508335019913900195809032484597886384784144327835472760880523550630,10,fully_filled,0.02,9.99,10.01,0.002,0.999,-0.0099999999999997,-0.0999000999000977,0.1001,0.02002,0.1201199999999999,-0.1301199999999996,-1.2999000999000967,False,False,-0.012999000999000958,-1.2999000999000967,2,55,28.5
Will Josh Shapiro win the 2028 US Presidential Election?,1420113190297259908358916251277696183671602680024474979931472444792502392139,9195312844128905514645503106857912558078141569888031031723687687489317147622,10,fully_filled,0.31,9.7,10.01,0.031,0.97,-0.0099999999999997,-0.0999000999000977,0.1001,0.02002,0.1201199999999999,-0.1301199999999996,-1.2999000999000967,False,False,-0.012999000999000958,-1.2999000999000967,2,55,28.5
Will Andy Beshear win the 2028 Democratic presidential nomination?,26468656392978559668331516709623917078428425933265692717836103090220693717685,26335362363448644358593284423242327477307616743233875606762153873424287882825,10,fully_filled,0.26,9.75,10.01,0.026,0.975,-0.0099999999999997,-0.0999000999000977,0.1001,0.02002,0.1201199999999999,-0.1301199999999996,-1.2999000999000967,False,False,-0.012999000999000958,-1.2999000999000967,2,55,28.5
Will Zohran Mamdani win the 2028 Democratic presidential nomination?,19323997520040734631220675039559156784534982703459512097490198935565229528445,111309365336519526711604102518316708823622751854213281307404397618571408959194,10,fully_filled,0.02,9.99,10.01,0.002,0.999,-0.0099999999999997,-0.0999000999000977,0.1001,0.02002,0.1201199999999999,-0.1301199999999996,-1.2999000999000967,False,False,-0.012999000999000958,-1.2999000999000967,2,55,28.5
Will Tucker Carlson win the 2028 US Presidential Election?,45015916581148592087728250896178171120552786117190685135618507471166113474733,5353194854864999214467212176625447374807704051407621946584152368216621932371,10,fully_filled,0.16,9.85,10.01,0.016,0.985,-0.0099999999999997,-0.0999000999000977,0.1001,0.02002,0.1201199999999999,-0.1301199999999996,-1.2999000999000967,False,False,-0.012999000999000958,-1.2999000999000967,2,55,28.5
Will Mark Cuban win the 2028 Democratic presidential nomination?,58378309871183461257693288827678410871907006920578755035402846056315798427503,55392527126713018429304496836617506663024188480522297953714346140749923557790,10,fully_filled,0.04,9.97,10.01,0.004,0.997,-0.0099999999999997,-0.0999000999000977,0.1001,0.02002,0.1201199999999999,-0.1301199999999996,-1.2999000999000967,False,False,-0.012999000999000958,-1.2999000999000967,2,55,28.5
Will Wes Moore win the 2028 US Presidential Election?,35272507273162958827997790327967872292415567859334925862043618606081750011897,374661216370333715221919731169956915917040066803205972387948453758235235593,10,fully_filled,0.09,9.92,10.01,0.009,0.992,-0.0099999999999997,-0.0999000999000977,0.1001,0.02002,0.1201199999999999,-0.1301199999999996,-1.2999000999000967,False,False,-0.012999000999000958,-1.2999000999000967,2,55,28.5
Will J.B. Pritzker win the 2028 Democratic presidential nomination?,103988345069738240821107916249290759786442703283901164377120414690701074137717,108650988487983371520585351370999192979899647080710024226285750050382033453124,10,fully_filled,0.13,9.88,10.01,0.013,0.988,-0.0099999999999997,-0.0999000999000977,0.1001,0.02002,0.1201199999999999,-0.1301199999999996,-1.2999000999000967,False,False,-0.012999000999000958,-1.2999000999000967,2,55,28.5
Will Dwayne 'The Rock' Johnson win the 2028 US Presidential Election?,76252402837334795047528042167618984089231134882494719641438604550246396692717,82779978600617806806814031291287454099780828258739355925042203335968508676880,10,fully_filled,0.15,9.86,10.01,0.015,0.986,-0.0099999999999997,-0.0999000999000977,0.1001,0.02002,0.1201199999999999,-0.1301199999999996,-1.2999000999000967,False,False,-0.012999000999000958,-1.2999000999000967,2,55,28.5
Will Phil Murphy win the 2028 Democratic presidential nomination?,81633484456710374417231462107666791993850637546563366185897100962157481970040,114507466536734360808195115190160357255467689128176113085692265197019898971527,10,fully_filled,0.02,9.99,10.01,0.002,0.999,-0.0099999999999997,-0.0999000999000977,0.1001,0.02002,0.1201199999999999,-0.1301199999999996,-1.2999000999000967,False,False,-0.012999000999000958,-1.2999000999000967,2,55,28.5
Will Gretchen Whitmer win the 2028 US Presidential Election?,4999047257294547885970323631312419427544062131054733229841947946130772277335,102084577517225131375286042838758381959278092930102485541091152099183604495224,10,fully_filled,0.04,9.97,10.01,0.004,0.997,-0.0099999999999997,-0.0999000999000977,0.1001,0.02002,0.1201199999999999,-0.1301199999999996,-1.2999000999000967,False,False,-0.012999000999000958,-1.2999000999000967,2,55,28.5
Will Raphael Warnock win the 2028 Democratic presidential nomination?,52310257194926233099477326083312959938983447523839326865869372741334281264830,88403451835230950222119400360490338078378790763472355557584611572247419676051,10,fully_filled,0.06,9.95,10.01,0.006,0.995,-0.0099999999999997,-0.0999000999000977,0.1001,0.02002,0.1201199999999999,-0.1301199999999996,-1.2999000999000967,False,False,-0.012999000999000958,-1.2999000999000967,2,55,28.5
Will Elon Musk win the 2028 US Presidential Election?,26641906520532802078452346454133721131611596169940893262820937050881742190686,59064132013843281708610372809406242099497812053529304284160897825180883604145,10,fully_filled,0.02,9.99,10.01,0.002,0.999,-0.0099999999999997,-0.0999000999000977,0.1001,0.02002,0.1201199999999999,-0.1301199999999996,-1.2999000999000967,False,False,-0.012999000999000958,-1.2999000999000967,2,55,28.5
Will Cory Booker win the 2028 Democratic presidential nomination?,50887272939612765629559172143901565817521391945540156085421963433918821328137,29006371059590547574472177233842141554614007974283936149779962779213443973844,10,fully_filled,0.06,9.95,10.01,0.006,0.995,-0.0099999999999997,-0.0999000999000977,0.1001,0.02002,0.1201199999999999,-0.1301199999999996,-1.2999000999000967,False,False,-0.012999000999000958,-1.2999000999000967,2,55,28.5
Will Andy Beshear win the 2028 US Presidential Election?,50507496430692162923857760920722624157737138256097150616293040054748564876552,53112547591746110422238703365888013497196468199611167129486770819598374380742,10,fully_filled,0.1099999999999999,9.9,10.01,0.011,0.99,-0.0099999999999997,-0.0999000999000977,0.1001,0.02002,0.1201199999999999,-0.1301199999999996,-1.2999000999000967,False,False,-0.012999000999000958,-1.2999000999000967,2,55,28.5
