question,yes_token,no_token,yes_bid,yes_ask,no_bid,no_ask,total_cost,gross_profit,gross_profit_pct
Xi Jinping out before 2027?,32338220190071351435772801779725302244575775216413325951443816017994629993401,25659310674993675562345759665114759892400026242514633218387667107987341231962,0.037,0.038,0.962,0.963,1.001,-0.0009999999999998899,-0.09990009990008891
Will Gavin Newsom win the 2028 Democratic presidential nomination?,54533043819946592547517511176940999955633860128497669742211153063842200957669,87854174148074652060467921081181402357467303721471806610111179101805869578687,0.153,0.159,0.841,0.847,1.006,-0.006000000000000005,-0.5964214711729627
Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,107064985435494333113391038470401719113272800530429703182710416066774068907304,65176072261324737856085688071627118509549293922582857186996392180609764586527,0.176,0.182,0.818,0.824,1.006,-0.006000000000000005,-0.5964214711729627
Will Pete Buttigieg win the 2028 Democratic presidential nomination?,91031279171981959197361710127213577102576826515163085396576756946418341946256,18494065527924073750217237765784380365430319396356251245973222791140100738948,0.051,0.052,0.948,0.949,1.001,-0.0009999999999998899,-0.09990009990008891
Will Josh Shapiro win the 2028 Democratic presidential nomination?,71169839497420596285841847514123589847893415750912355173877524195175834054354,55290827599553280245963175724940496753557722439999671239772487781170052583987,0.055,0.062,0.938,0.945,1.007,-0.006999999999999895,-0.6951340615690065
Will Wes Moore win the 2028 Democratic presidential nomination?,90227223115596293448966158151606153337847900483048338623540402385929720677904,105134691322323565615831879054043168027913414000042547943201361115853277749482,0.017,0.018,0.982,0.983,1.001,-0.0009999999999998899,-0.09990009990008891
Will Stephen A. Smith win the 2028 Democratic presidential nomination?,60590045489347122735554346200880179420435533609307820342798544098823516727807,76005700027045000587004110133818166617024719626220722682005164003117993034812,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will Kamala Harris win the 2028 Democratic presidential nomination?,38171024903091354977195167437673496224420673639143973968032407064172828043588,26930844951471612827925270830087046333229637930899178134435055616497220846773,0.096,0.097,0.903,0.904,1.0010000000000001,-0.001000000000000112,-0.09990009990011106
Will Gretchen Whitmer win the 2028 Democratic presidential nomination?,57761428076807364758801249497410455358987881775226117256631754592198558850468,64300336035644500626313522990854070672468621241744347587785777226296613235598,0.004,0.005,0.995,0.996,1.001,-0.0009999999999998899,-0.09990009990008891
Will Andy Beshear win the 2028 Democratic presidential nomination?,26468656392978559668331516709623917078428425933265692717836103090220693717685,26335362363448644358593284423242327477307616743233875606762153873424287882825,0.024,0.025,0.975,0.976,1.001,-0.0009999999999998899,-0.09990009990008891
Will Jon Ossoff win the 2028 Democratic presidential nomination?,70071592420137476676935286377781779672157004436137616627487590484756055232944,107829893465244243112531790315844862173967342141753896250561816305880797209350,0.164,0.165,0.835,0.836,1.001,-0.0009999999999998899,-0.09990009990008891
Will Mark Cuban win the 2028 Democratic presidential nomination?,58378309871183461257693288827678410871907006920578755035402846056315798427503,55392527126713018429304496836617506663024188480522297953714346140749923557790,0.003,0.004,0.996,0.997,1.001,-0.0009999999999998899,-0.09990009990008891
Will J.B. Pritzker win the 2028 Democratic presidential nomination?,103988345069738240821107916249290759786442703283901164377120414690701074137717,108650988487983371520585351370999192979899647080710024226285750050382033453124,0.012,0.013,0.987,0.988,1.001,-0.0009999999999998899,-0.09990009990008891
Will Raphael Warnock win the 2028 Democratic presidential nomination?,52310257194926233099477326083312959938983447523839326865869372741334281264830,88403451835230950222119400360490338078378790763472355557584611572247419676051,0.005,0.006,0.994,0.995,1.001,-0.0009999999999998899,-0.09990009990008891
Will Cory Booker win the 2028 Democratic presidential nomination?,50887272939612765629559172143901565817521391945540156085421963433918821328137,29006371059590547574472177233842141554614007974283936149779962779213443973844,0.005,0.006,0.994,0.995,1.001,-0.0009999999999998899,-0.09990009990008891
Will Michelle Obama win the 2028 Democratic presidential nomination?,83723134981785004242996949681785273460678873813693556756054904164484296299719,107146110974011455665373243296921398136854344089489911087344946921091914123046,0.002,0.003,0.997,0.998,1.001,-0.0009999999999998899,-0.09990009990008891
Will Mark Kelly win the 2028 Democratic presidential nomination?,92325249719485031139867422012514654102580961954747753469470405147070256604118,5116999494213083595175041146469973274436003044730013359502912125889113751080,0.03,0.031,0.969,0.97,1.001,-0.0009999999999998899,-0.09990009990008891
Will Rahm Emanuel win the 2028 Democratic presidential nomination?,10521981432803570450946212503203364998108630328528216082760514453664705157397,91949042216127305292438280992722171735754548787382833799906976841509942727662,0.018,0.019,0.981,0.982,1.001,-0.0009999999999998899,-0.09990009990008891
Will Gina Raimondo win the 2028 Democratic presidential nomination?,35165603539035270209469650915267170915291414186795231160733227083640059691764,82254794773423437491598574581796732934760602553828664932786984448280136473130,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will Zohran Mamdani win the 2028 Democratic presidential nomination?,19323997520040734631220675039559156784534982703459512097490198935565229528445,111309365336519526711604102518316708823622751854213281307404397618571408959194,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will Roy Cooper win the 2028 Democratic presidential nomination?,30732552320006664177902085971957467957450485111214036633872573588757974348601,55053374667733007627913689484290555932799177921000957543346276204775142445823,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will Jared Polis win the 2028 Democratic presidential nomination?,42119164854283656238382173699154739480090965550328051492328192273011556335098,39150381508679235943386404690610035044747196600759141560840372170757042543675,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will Jon Stewart win the 2028 Democratic presidential nomination?,58343456405874365460518182619380252930558598368174305791768670198253267891911,84566561349071752664514432513198569980219178901068420341175150225620958953893,0.003,0.004,0.996,0.997,1.001,-0.0009999999999998899,-0.09990009990008891
Will Barack Obama win the 2028 Democratic presidential nomination?,88927218779847397120407909832537568114340511586397698395193736044476021744522,93993883668914241189795812807312922412111034935516092303580333564217329905759,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will Hillary Clinton win the 2028 Democratic presidential nomination?,6349038249650226718426900942104344803413105653564595362433352811865798195800,57931882677606943294773135604094039468334392354204920135953322654005083822055,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will Bernie Sanders win the 2028 Democratic presidential nomination?,113510300123120868861281132282742729065975487298059944817273881893086209196585,3444964147133304300560138317203877470064591148213906708394693248804691192318,0.004,0.005,0.995,0.996,1.001,-0.0009999999999998899,-0.09990009990008891
Will Phil Murphy win the 2028 Democratic presidential nomination?,81633484456710374417231462107666791993850637546563366185897100962157481970040,114507466536734360808195115190160357255467689128176113085692265197019898971527,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will Hunter Biden win the 2028 Democratic presidential nomination?,11343337042526652606304508556838778144915122118685013460142819817079620240439,19117858613830240204442128472263675815111662346578092643025820800380629933012,0.004,0.006,0.994,0.996,1.002,-0.0020000000000000018,-0.19960079840319378
Will Chelsea Clinton win the 2028 Democratic presidential nomination?,46211769122513729244602558513001215391004042100934296321661285791281233261657,76057920052421891902791411567177996435483774677774664174053982044923692373687,0.006,0.007,0.993,0.994,1.001,-0.0009999999999998899,-0.09990009990008891
Will Dwayne 'The Rock' Johnson win the 2028 Democratic presidential nomination?,40963724357262746498642320898188195118391211877976821531149510360187173789737,14959910401705469574520698331840889689202579612030624016640567510369602599866,0.011,0.012,0.988,0.989,1.001,-0.0009999999999998899,-0.09990009990008891
Will Andrew Yang win the 2028 Democratic presidential nomination?,102504892414163237174864879683522880588750452841477290216845150938663289742135,21234886083000978203440582985665409733123024063268807484684316771005736994028,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will Chris Murphy win the 2028 Democratic presidential nomination?,8815924480259634499011776432080696931704057619336093802050596292915996723758,45099054006923138281311463758770234951153596952213440096254242321807308634603,0.004,0.005,0.995,0.996,1.001,-0.0009999999999998899,-0.09990009990008891
Will Jasmine Crockett win the 2028 Democratic presidential nomination?,22103094389913052942362639589409218272323168761614999702665821259175535456835,10893367019711826592833821276710094799225035200719824531380610476790390190688,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will Ruben Gallego win the 2028 Democratic presidential nomination?,94658518227479141344875476648819337938746150529318297759951212169676959854478,89549550119611798541187132573193884477265258658615163602217456913355320927577,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will Ro Khanna win the 2028 Democratic presidential nomination?,20374050108659687356429749447884880983779889840007423115803042125707701269498,2610336024939503976910443133965525155112118948066646227040491461288298872236,0.013,0.014,0.986,0.987,1.001,-0.0009999999999998899,-0.09990009990008891
Will James Talarico win the 2028 Democratic presidential nomination?,52535923606561722941567320365820395300598958985353103429657683100920373025261,20643805904661385280242837899001038341346631607217619709766724611396929658707,0.024,0.025,0.975,0.976,1.001,-0.0009999999999998899,-0.09990009990008891
Will Abigail Spanberger win the 2028 Democratic presidential nomination?,67834126955354466786049932246962827069514258320708123726234642047236874537300,85842730802801029317331291122638780955014362480310249655739704629273608465884,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will Hakeem Jeffries win the 2028 Democratic presidential nomination?,23940655822937666554179928631365405234554137716172612284986318717257054413669,74558297484750387958365610940184220316219182006445006209048673137036909262424,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will Elissa Slotkin win the 2028 Democratic presidential nomination?,48455736546094517370011063312529885328905072240106316551156607253162886762655,21910945789202551310737182019481519202352824012676720876277298283641159588352,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will Josh Stein win the 2028 Democratic presidential nomination?,88892629978057552473594496509394432528313837466696628191322608851106929962536,86408082986810982428934766746057237103501895775284376283076301431054177694153,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
"Putin out as President of Russia by December 31, 2026?",350977769852917329387037893294763093471844346281449484439085576212613048126,87073899845581463485186346288398658568334162612963837182986759797304993556208,0.04,0.05,0.95,0.96,1.01,-0.010000000000000009,-0.990099009900991
Will JD Vance win the 2028 US Presidential Election?,16040015440196279900485035793550429453516625694844857319147506590755961451627,94476829201604408463453426454480212459887267917122244941405244686637914508323,0.207,0.208,0.792,0.793,1.0010000000000001,-0.001000000000000112,-0.09990009990011106
Will Gavin Newsom win the 2028 US Presidential Election?,98250445447699368679516529207365255018790721464590833209064266254238063117329,18823838997443878656879952590502524526556504037944392973476854588563571859850,0.079,0.082,0.918,0.921,1.0030000000000001,-0.0030000000000001137,-0.2991026919242386
Will Alexandria Ocasio-Cortez win the 2028 US Presidential Election?,8113830512143065501177519557124858581375945005490796772950589720955457782465,11493926619286817179231142642565394485790380952577225820901334479399429951651,0.13,0.131,0.869,0.87,1.001,-0.0009999999999998899,-0.09990009990008891
Will Pete Buttigieg win the 2028 US Presidential Election?,35629456194498013232473191985311930903993567273832459837879398120893197410860,26087406687932108531005204502244492184534000122992461059156880611150953145122,0.026,0.027,0.973,0.974,1.001,-0.0009999999999998899,-0.09990009990008891
Will Josh Shapiro win the 2028 US Presidential Election?,1420113190297259908358916251277696183671602680024474979931472444792502392139,9195312844128905514645503106857912558078141569888031031723687687489317147622,0.03,0.031,0.969,0.97,1.001,-0.0009999999999998899,-0.09990009990008891
Will Marco Rubio win the 2028 US Presidential Election?,11171618905857319805355893398009978356002287408842633593535559412449299952250,65892530750232246342273648992064742042382898919201083513241874070914353628268,0.088,0.089,0.911,0.912,1.0010000000000001,-0.001000000000000112,-0.09990009990011106
Will Wes Moore win the 2028 US Presidential Election?,35272507273162958827997790327967872292415567859334925862043618606081750011897,374661216370333715221919731169956915917040066803205972387948453758235235593,0.008,0.009,0.991,0.992,1.001,-0.0009999999999998899,-0.09990009990008891
Will Gretchen Whitmer win the 2028 US Presidential Election?,4999047257294547885970323631312419427544062131054733229841947946130772277335,102084577517225131375286042838758381959278092930102485541091152099183604495224,0.003,0.004,0.996,0.997,1.001,-0.0009999999999998899,-0.09990009990008891
Will Andy Beshear win the 2028 US Presidential Election?,50507496430692162923857760920722624157737138256097150616293040054748564876552,53112547591746110422238703365888013497196468199611167129486770819598374380742,0.01,0.011,0.989,0.99,1.001,-0.0009999999999998899,-0.09990009990008891
Will Glenn Youngkin win the 2028 US Presidential Election?,631059815958854406224163480574507434200946764542129005247984171366597476420,100418331065194201410948024347944500798513421135064468615649525110872253639397,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will Kamala Harris win the 2028 US Presidential Election?,70663352401606372246362604193214664065595751757222752105245221905399175050480,4988819538339626436114997160558538168652916536529198363646261454228218983102,0.046,0.047,0.953,0.954,1.001,-0.0009999999999998899,-0.09990009990008891
Will JB Pritzker win the 2028 US Presidential Election?,70948731404464821824516595498024506131170394300814446118501620719416471444076,111825297267676135304812085666512747626812691749338692567733264184356420470119,0.004,0.005,0.995,0.996,1.001,-0.0009999999999998899,-0.09990009990008891
Will Tulsi Gabbard win the 2028 US Presidential Election?,97633418272282627828834872960145259034624388719803091466146359304286851612172,17854429586516792397214557963923647011517685971868312042416963526864862523185,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,-0.09990009990008891
Will Donald Trump win the 2028 US Presidential Election?,11807691644868166983390207408868795383945915035851758101409310535538572683733,72656506786460378316387284276713856836841708169262528054985577978493419440428,0.011,0.015,0.985,0.989,1.004,-0.0040000000000000036,-0.39840637450199234
Will Donald Trump Jr. win the 2028 US Presidential Election?,77660944053451874285291959901958937238149180369572698706675030657716494119346,52761630651452310319295064365704431564140478140269624735570317771849185169635,0.004,0.005,0.995,0.996,1.001,-0.0009999999999998899,-0.09990009990008891
Will Ron DeSantis win the 2028 US Presidential Election?,104480514270625615787868282411330496385404675495672110015326625654626015018993,65724430065358897810064400118831287249960059855415477063660293398018349529272,0.016,0.02,0.98,0.984,1.004,-0.0040000000000000036,-0.39840637450199234
