market_index,question,status,yes_token,no_token,yes_bid,yes_ask,no_bid,no_ask,yes_quantity,no_quantity,yes_notional,no_notional,total_cost,gross_profit,gross_profit_pct
1,Xi Jinping out before 2027?,no_arbitrage,32338220190071351435772801779725302244575775216413325951443816017994629993401,25659310674993675562345759665114759892400026242514633218387667107987341231962,0.037,0.038,0.962,0.963,2558.19,1833.57,97.21122,1765.7279099999998,1.001,-0.0009999999999998899,-0.09990009990008891
2,Will Gavin Newsom win the 2028 Democratic presidential nomination?,no_arbitrage,54533043819946592547517511176940999955633860128497669742211153063842200957669,87854174148074652060467921081181402357467303721471806610111179101805869578687,0.153,0.156,0.844,0.847,339.05,1005.62,52.8918,851.76014,1.003,-0.0029999999999998916,-0.2991026919242165
3,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,no_arbitrage,107064985435494333113391038470401719113272800530429703182710416066774068907304,65176072261324737856085688071627118509549293922582857186996392180609764586527,0.176,0.182,0.818,0.824,344.16,930.17,62.63712,766.46008,1.006,-0.006000000000000005,-0.5964214711729627
4,Will Pete Buttigieg win the 2028 Democratic presidential nomination?,no_arbitrage,91031279171981959197361710127213577102576826515163085396576756946418341946256,18494065527924073750217237765784380365430319396356251245973222791140100738948,0.051,0.052,0.948,0.949,2690.47,4222.76,139.90444,4007.39924,1.001,-0.0009999999999998899,-0.09990009990008891
5,Will Josh Shapiro win the 2028 Democratic presidential nomination?,no_arbitrage,71169839497420596285841847514123589847893415750912355173877524195175834054354,55290827599553280245963175724940496753557722439999671239772487781170052583987,0.056,0.062,0.938,0.944,709.59,17.86,43.99458,16.85984,1.006,-0.006000000000000005,-0.5964214711729627
6,Will Wes Moore win the 2028 Democratic presidential nomination?,no_arbitrage,90227223115596293448966158151606153337847900483048338623540402385929720677904,105134691322323565615831879054043168027913414000042547943201361115853277749482,0.017,0.018,0.982,0.983,3575.67,330.56,64.36206,324.94048,1.001,-0.0009999999999998899,-0.09990009990008891
7,Will Stephen A. Smith win the 2028 Democratic presidential nomination?,no_arbitrage,60590045489347122735554346200880179420435533609307820342798544098823516727807,76005700027045000587004110133818166617024719626220722682005164003117993034812,0.001,0.002,0.998,0.999,636554.91,692868.81,1273.1098200000001,692175.94119,1.001,-0.0009999999999998899,-0.09990009990008891
8,Will Kamala Harris win the 2028 Democratic presidential nomination?,no_arbitrage,38171024903091354977195167437673496224420673639143973968032407064172828043588,26930844951471612827925270830087046333229637930899178134435055616497220846773,0.096,0.097,0.903,0.904,19912.33,4237.77,1931.4960100000003,3830.9440800000007,1.0010000000000001,-0.001000000000000112,-0.09990009990011106
9,Will Gretchen Whitmer win the 2028 Democratic presidential nomination?,no_arbitrage,57761428076807364758801249497410455358987881775226117256631754592198558850468,64300336035644500626313522990854070672468621241744347587785777226296613235598,0.004,0.005,0.995,0.996,175.74,94799.71,0.8787,94420.51116000001,1.001,-0.0009999999999998899,-0.09990009990008891
10,Will Andy Beshear win the 2028 Democratic presidential nomination?,no_arbitrage,26468656392978559668331516709623917078428425933265692717836103090220693717685,26335362363448644358593284423242327477307616743233875606762153873424287882825,0.024,0.025,0.975,0.976,57195.98,548.44,1429.8995000000002,535.2774400000001,1.001,-0.0009999999999998899,-0.09990009990008891
