question,observations,average_yes_bid,average_yes_ask,average_no_bid,average_no_ask,average_yes_spread,average_no_spread,average_combined_spread,average_execution_cost_bps,average_gross_edge_bps,minimum_gross_edge_bps,maximum_gross_edge_bps,yes_price_volatility,no_price_volatility,edge_volatility,positive_edge_observations,gross_arbitrage_rate,research_rank
Will Andy Beshear win the 2028 Democratic presidential nomination?,2,0.025,0.026,0.974,0.975,0.0009999999999999974,0.0010000000000000009,0.0019999999999999983,9.999999999998899,-9.999999999998002,-9.999999999998002,-9.999999999998002,0.0,0.0,0.0,0,0.0,1
Will Cory Booker win the 2028 Democratic presidential nomination?,2,0.005,0.006,0.994,0.995,0.001,0.0010000000000000009,0.002000000000000001,9.999999999998899,-9.999999999998002,-9.999999999998002,-9.999999999998002,0.0,0.0,0.0,0,0.0,2
Will Gavin Newsom win the 2028 Democratic presidential nomination?,10,0.155,0.156,0.844,0.845,0.0010000000000000009,0.0010000000000000009,0.0020000000000000018,9.999999999998899,-9.999999999998002,-9.999999999998002,-9.999999999998002,0.0,0.0,0.0,0,0.0,3
Will Gina Raimondo win the 2028 Democratic presidential nomination?,2,0.001,0.002,0.998,0.999,0.001,0.0010000000000000009,0.002000000000000001,9.999999999998899,-9.999999999998002,-9.999999999998002,-9.999999999998002,0.0,0.0,0.0,0,0.0,4
Will Gretchen Whitmer win the 2028 Democratic presidential nomination?,2,0.004,0.005,0.995,0.996,0.001,0.0010000000000000009,0.002000000000000001,9.999999999998899,-9.999999999998002,-9.999999999998002,-9.999999999998002,0.0,0.0,0.0,0,0.0,5
Will J.B. Pritzker win the 2028 Democratic presidential nomination?,2,0.012,0.013,0.987,0.988,0.0009999999999999992,0.0010000000000000009,0.002,9.999999999998899,-9.999999999998002,-9.999999999998002,-9.999999999998002,0.0,0.0,0.0,0,0.0,6
Will Jon Ossoff win the 2028 Democratic presidential nomination?,2,0.171,0.172,0.828,0.829,0.0009999999999999731,0.0010000000000000009,0.001999999999999974,9.999999999998899,-9.999999999998002,-9.999999999998002,-9.999999999998002,0.0,0.0,0.0,0,0.0,7
Will Josh Shapiro win the 2028 Democratic presidential nomination?,10,0.05700000000000001,0.05800000000000001,0.942,0.943,0.0010000000000000009,0.0010000000000000009,0.0020000000000000018,9.999999999998899,-9.999999999998002,-9.999999999998002,-9.999999999998002,0.0,0.0,0.0,0,0.0,8
Will Mark Cuban win the 2028 Democratic presidential nomination?,2,0.003,0.004,0.996,0.997,0.001,0.0010000000000000009,0.002000000000000001,9.999999999998899,-9.999999999998002,-9.999999999998002,-9.999999999998002,0.0,0.0,0.0,0,0.0,9
Will Mark Kelly win the 2028 Democratic presidential nomination?,2,0.03,0.031,0.969,0.97,0.0010000000000000009,0.0010000000000000009,0.0020000000000000018,9.999999999998899,-9.999999999998002,-9.999999999998002,-9.999999999998002,0.0,0.0,0.0,0,0.0,10
Will Michelle Obama win the 2028 Democratic presidential nomination?,2,0.002,0.003,0.997,0.998,0.001,0.0010000000000000009,0.002000000000000001,9.999999999998899,-9.999999999998002,-9.999999999998002,-9.999999999998002,0.0,0.0,0.0,0,0.0,11
Will Pete Buttigieg win the 2028 Democratic presidential nomination?,10,0.052000000000000005,0.053000000000000005,0.9469999999999998,0.9480000000000001,0.0010000000000000009,0.0010000000000000009,0.0020000000000000018,9.999999999998899,-9.999999999998002,-9.999999999998002,-9.999999999998002,0.0,0.0,0.0,0,0.0,12
Will Rahm Emanuel win the 2028 Democratic presidential nomination?,2,0.018,0.019,0.981,0.982,0.0010000000000000009,0.0010000000000000009,0.0020000000000000018,9.999999999998899,-9.999999999998002,-9.999999999998002,-9.999999999998002,0.0,0.0,0.0,0,0.0,13
Will Raphael Warnock win the 2028 Democratic presidential nomination?,2,0.005,0.006,0.994,0.995,0.001,0.0010000000000000009,0.002000000000000001,9.999999999998899,-9.999999999998002,-9.999999999998002,-9.999999999998002,0.0,0.0,0.0,0,0.0,14
Will Stephen A. Smith win the 2028 Democratic presidential nomination?,2,0.001,0.002,0.998,0.999,0.001,0.0010000000000000009,0.002000000000000001,9.999999999998899,-9.999999999998002,-9.999999999998002,-9.999999999998002,0.0,0.0,0.0,0,0.0,15
Will Wes Moore win the 2028 Democratic presidential nomination?,2,0.017,0.018,0.982,0.983,0.0009999999999999974,0.0010000000000000009,0.0019999999999999983,9.999999999998899,-9.999999999998002,-9.999999999998002,-9.999999999998002,0.0,0.0,0.0,0,0.0,16
Xi Jinping out before 2027?,10,0.038,0.039,0.961,0.962,0.0010000000000000009,0.0010000000000000009,0.0020000000000000018,9.999999999998899,-9.999999999998002,-9.999999999998002,-9.999999999998002,0.0,0.0,0.0,0,0.0,17
Will Kamala Harris win the 2028 Democratic presidential nomination?,2,0.088,0.089,0.911,0.912,0.0010000000000000009,0.0010000000000000009,0.0020000000000000018,9.999999999998899,-10.000000000001,-10.000000000001,-10.000000000001,0.0,0.0,0.0,0,0.0,18
Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,10,0.182,0.184,0.8160000000000001,0.818,0.0020000000000000018,0.0020000000000000018,0.0040000000000000036,20.000000000000018,-20.0,-20.0,-20.0,0.0,0.0,0.0,0,0.0,19
