question,observations,average_gross_edge,minimum_gross_edge,maximum_gross_edge,average_net_edge,minimum_net_edge,maximum_net_edge,positive_gross_observations,positive_net_observations,qualified_opportunities,gross_signal_rate,net_signal_rate,qualified_rate
Xi Jinping out before 2027?,10,-0.0009999999999998899,-0.0009999999999998899,-0.0009999999999998899,-0.00299999999999989,-0.00299999999999989,-0.00299999999999989,0,0,0,0.0,0.0,0.0
Will Andy Beshear win the 2028 Democratic presidential nomination?,2,-0.0009999999999998899,-0.0009999999999998899,-0.0009999999999998899,-0.00299999999999989,-0.00299999999999989,-0.00299999999999989,0,0,0,0.0,0.0,0.0
Will Raphael Warnock win the 2028 Democratic presidential nomination?,2,-0.0009999999999998899,-0.0009999999999998899,-0.0009999999999998899,-0.00299999999999989,-0.00299999999999989,-0.00299999999999989,0,0,0,0.0,0.0,0.0
Will Rahm Emanuel win the 2028 Democratic presidential nomination?,2,-0.0009999999999998899,-0.0009999999999998899,-0.0009999999999998899,-0.00299999999999989,-0.00299999999999989,-0.00299999999999989,0,0,0,0.0,0.0,0.0
Will Pete Buttigieg win the 2028 Democratic presidential nomination?,10,-0.0009999999999998899,-0.0009999999999998899,-0.0009999999999998899,-0.00299999999999989,-0.00299999999999989,-0.00299999999999989,0,0,0,0.0,0.0,0.0
Will Michelle Obama win the 2028 Democratic presidential nomination?,2,-0.0009999999999998899,-0.0009999999999998899,-0.0009999999999998899,-0.00299999999999989,-0.00299999999999989,-0.00299999999999989,0,0,0,0.0,0.0,0.0
Will Mark Kelly win the 2028 Democratic presidential nomination?,2,-0.0009999999999998899,-0.0009999999999998899,-0.0009999999999998899,-0.00299999999999989,-0.00299999999999989,-0.00299999999999989,0,0,0,0.0,0.0,0.0
Will Mark Cuban win the 2028 Democratic presidential nomination?,2,-0.0009999999999998899,-0.0009999999999998899,-0.0009999999999998899,-0.00299999999999989,-0.00299999999999989,-0.00299999999999989,0,0,0,0.0,0.0,0.0
Will Josh Shapiro win the 2028 Democratic presidential nomination?,10,-0.0009999999999998899,-0.0009999999999998899,-0.0009999999999998899,-0.00299999999999989,-0.00299999999999989,-0.00299999999999989,0,0,0,0.0,0.0,0.0
Will Wes Moore win the 2028 Democratic presidential nomination?,2,-0.0009999999999998899,-0.0009999999999998899,-0.0009999999999998899,-0.00299999999999989,-0.00299999999999989,-0.00299999999999989,0,0,0,0.0,0.0,0.0
Will Jon Ossoff win the 2028 Democratic presidential nomination?,2,-0.0009999999999998899,-0.0009999999999998899,-0.0009999999999998899,-0.00299999999999989,-0.00299999999999989,-0.00299999999999989,0,0,0,0.0,0.0,0.0
Will J.B. Pritzker win the 2028 Democratic presidential nomination?,2,-0.0009999999999998899,-0.0009999999999998899,-0.0009999999999998899,-0.00299999999999989,-0.00299999999999989,-0.00299999999999989,0,0,0,0.0,0.0,0.0
Will Gretchen Whitmer win the 2028 Democratic presidential nomination?,2,-0.0009999999999998899,-0.0009999999999998899,-0.0009999999999998899,-0.00299999999999989,-0.00299999999999989,-0.00299999999999989,0,0,0,0.0,0.0,0.0
Will Gina Raimondo win the 2028 Democratic presidential nomination?,2,-0.0009999999999998899,-0.0009999999999998899,-0.0009999999999998899,-0.00299999999999989,-0.00299999999999989,-0.00299999999999989,0,0,0,0.0,0.0,0.0
Will Gavin Newsom win the 2028 Democratic presidential nomination?,10,-0.0009999999999998899,-0.0009999999999998899,-0.0009999999999998899,-0.00299999999999989,-0.00299999999999989,-0.00299999999999989,0,0,0,0.0,0.0,0.0
Will Cory Booker win the 2028 Democratic presidential nomination?,2,-0.0009999999999998899,-0.0009999999999998899,-0.0009999999999998899,-0.00299999999999989,-0.00299999999999989,-0.00299999999999989,0,0,0,0.0,0.0,0.0
Will Stephen A. Smith win the 2028 Democratic presidential nomination?,2,-0.0009999999999998899,-0.0009999999999998899,-0.0009999999999998899,-0.00299999999999989,-0.00299999999999989,-0.00299999999999989,0,0,0,0.0,0.0,0.0
Will Kamala Harris win the 2028 Democratic presidential nomination?,2,-0.001000000000000112,-0.001000000000000112,-0.001000000000000112,-0.003000000000000112,-0.003000000000000112,-0.003000000000000112,0,0,0,0.0,0.0,0.0
Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,10,-0.0020000000000000018,-0.0020000000000000018,-0.0020000000000000018,-0.004000000000000002,-0.004000000000000002,-0.004000000000000002,0,0,0,0.0,0.0,0.0
