metric,value
raw_observations,185.0
complete_observations,78.0
incomplete_observations,107.0
unique_markets_total,100.0
unique_markets_backtested,19.0
unique_timestamps_total,12.0
average_gross_edge,-0.0011282051282050381
median_gross_edge,-0.0009999999999998899
minimum_gross_edge,-0.0020000000000000018
maximum_gross_edge,-0.0009999999999998899
std_gross_edge,0.0003364819656684991
positive_gross_observations,0.0
positive_gross_rate,0.0
average_net_edge,-0.0031282051282050393
median_net_edge,-0.00299999999999989
minimum_net_edge,-0.004000000000000002
maximum_net_edge,-0.00299999999999989
positive_net_observations,0.0
positive_net_rate,0.0
qualified_opportunities,0.0
qualified_opportunity_rate,0.0
fee_rate,0.001
slippage_rate,0.001
total_cost_rate,0.002
minimum_required_net_edge,0.002
