timestamp,observations,average_gross_edge,maximum_gross_edge,average_net_edge,maximum_net_edge,qualified_opportunities
2026-09-21 13:38:00+00:00,69,-0.0013043478260868044,-0.0009999999999998,-0.0033043478260868044,-0.0029999999999998,0
2026-09-21 13:39:00+00:00,0,,,,,0
2026-09-21 13:40:00+00:00,0,,,,,0
2026-09-21 13:41:00+00:00,0,,,,,0
2026-09-21 13:42:00+00:00,0,,,,,0
2026-09-21 13:43:00+00:00,0,,,,,0
2026-09-21 13:44:00+00:00,0,,,,,0
2026-09-21 13:45:00+00:00,0,,,,,0
2026-09-21 13:46:00+00:00,0,,,,,0
2026-09-21 13:47:00+00:00,0,,,,,0
2026-09-21 13:48:00+00:00,0,,,,,0
2026-09-21 13:49:00+00:00,0,,,,,0
2026-09-21 13:50:00+00:00,0,,,,,0
2026-09-21 13:51:00+00:00,0,,,,,0
2026-09-21 13:52:00+00:00,0,,,,,0
2026-09-21 13:53:00+00:00,0,,,,,0
2026-09-21 13:54:00+00:00,0,,,,,0
2026-09-21 13:55:00+00:00,0,,,,,0
2026-09-21 13:56:00+00:00,0,,,,,0
2026-09-21 13:57:00+00:00,0,,,,,0
2026-09-21 13:58:00+00:00,0,,,,,0
2026-09-21 13:59:00+00:00,0,,,,,0
2026-09-21 14:00:00+00:00,0,,,,,0
2026-09-21 14:01:00+00:00,0,,,,,0
2026-09-21 14:02:00+00:00,0,,,,,0
2026-09-21 14:03:00+00:00,0,,,,,0
2026-09-21 14:04:00+00:00,0,,,,,0
2026-09-21 14:05:00+00:00,0,,,,,0
2026-09-21 14:06:00+00:00,0,,,,,0
2026-09-21 14:07:00+00:00,0,,,,,0
2026-09-21 14:08:00+00:00,0,,,,,0
2026-09-21 14:09:00+00:00,0,,,,,0
2026-09-21 14:10:00+00:00,0,,,,,0
2026-09-21 14:11:00+00:00,0,,,,,0
2026-09-21 14:12:00+00:00,0,,,,,0
2026-09-21 14:13:00+00:00,0,,,,,0
2026-09-21 14:14:00+00:00,0,,,,,0
2026-09-21 14:15:00+00:00,0,,,,,0
2026-09-21 14:16:00+00:00,69,-0.0013188405797099957,-0.0009999999999998,-0.0033188405797099957,-0.0029999999999998,0
