metric,value
total_logged_observations,2898.0
complete_observations,2896.0
unique_markets,69.0
unique_timestamps,2896.0
average_gross_edge,-0.0013131906077346555
maximum_gross_edge,-0.0009999999999998
minimum_gross_edge,-0.01
average_net_edge,-0.003313190607734656
maximum_net_edge,-0.0029999999999998
minimum_net_edge,-0.012
positive_gross_observations,0.0
positive_net_observations,0.0
qualified_opportunities,0.0
qualified_rate,0.0
fee_rate,0.001
slippage_rate,0.001
minimum_required_net_edge,0.002
