question,observations,first_timestamp,last_timestamp,yes_ask_min,yes_ask_max,no_ask_min,no_ask_max,gross_edge_min,gross_edge_max,gross_edge_mean,positive_gross_observations,yes_move,no_move,gross_edge_move,yes_move_bps,no_move_bps,gross_edge_move_bps
"Putin out as President of Russia by December 31, 2026?",42,2026-09-21 13:38:51.021925+00:00,2026-09-21 16:04:08.516522+00:00,0.037,0.05,0.96,0.97,-0.01,-0.0009999999999998,-0.006809523809523752,0,0.013000000000000005,0.010000000000000009,0.0090000000000002,130.00000000000006,100.00000000000009,90.000000000002
Will Abigail Spanberger win the 2028 Democratic presidential nomination?,42,2026-09-21 13:38:49.989284+00:00,2026-09-21 16:04:07.555965+00:00,0.002,0.002,0.999,0.999,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0,0.0,0.0,0.0,0.0,0.0,0.0
Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,42,2026-09-21 13:38:42.537867+00:00,2026-09-21 16:03:59.941529+00:00,0.184,0.184,0.817,0.818,-0.002,-0.0009999999999998,-0.0016666666666666,0,0.0,0.0010000000000000009,0.0010000000000002,0.0,10.000000000000009,10.000000000002
Will Alexandria Ocasio-Cortez win the 2028 US Presidential Election?,42,2026-09-21 13:38:51.528790+00:00,2026-09-21 16:04:09.041137+00:00,0.131,0.131,0.87,0.87,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0,0.0,0.0,0.0,0.0,0.0,0.0
Will Andrew Yang win the 2028 Democratic presidential nomination?,42,2026-09-21 13:38:48.446651+00:00,2026-09-21 16:04:06.028583+00:00,0.002,0.002,0.999,0.999,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0,0.0,0.0,0.0,0.0,0.0,0.0
Will Andy Beshear win the 2028 Democratic presidential nomination?,42,2026-09-21 13:38:43.663220+00:00,2026-09-21 16:04:01.299139+00:00,0.026,0.026,0.975,0.975,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0,0.0,0.0,0.0,0.0,0.0,0.0
Will Andy Beshear win the 2028 US Presidential Election?,42,2026-09-21 13:38:52.541959+00:00,2026-09-21 16:04:10.038945+00:00,0.011,0.011,0.99,0.99,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0,0.0,0.0,0.0,0.0,0.0,0.0
Will Barack Obama win the 2028 Democratic presidential nomination?,42,2026-09-21 13:38:46.341077+00:00,2026-09-21 16:04:03.962939+00:00,0.002,0.002,0.999,0.999,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0,0.0,0.0,0.0,0.0,0.0,0.0
Will Bernie Sanders win the 2028 Democratic presidential nomination?,42,2026-09-21 13:38:46.877671+00:00,2026-09-21 16:04:04.505057+00:00,0.005,0.005,0.996,0.996,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0,0.0,0.0,0.0,0.0,0.0,0.0
Will Chelsea Clinton win the 2028 Democratic presidential nomination?,42,2026-09-21 13:38:47.805119+00:00,2026-09-21 16:04:05.409932+00:00,0.007,0.008,0.994,0.994,-0.002,-0.0009999999999998,-0.0019761904761904712,0,0.001,0.0,0.0010000000000002,10.0,0.0,10.000000000002
