question,observations,yes_min,yes_max,yes_mean,yes_std,no_min,no_max,no_mean,no_std,combined_min,combined_max,combined_mean,combined_std,gross_min,gross_max,gross_mean,gross_std,max_abs_yes_change,max_abs_no_change,max_abs_combined_change,max_abs_edge_change,observations_below_one,observations_at_one,observations_above_one,yes_move,no_move,combined_move,gross_edge_move,movement_observed
"Putin out as President of Russia by December 31, 2026?",42,0.037,0.05,0.04542857142857143,0.0056272111410965225,0.96,0.97,0.9613809523809523,0.002284116747180463,1.001,1.01,1.0068095238095238,0.004203587870762952,-0.01,-0.0009999999999998,-0.006809523809523752,0.004203587870762884,0.010000000000000002,0.010000000000000009,0.0040000000000000036,0.004,0,0,42,0.013000000000000005,0.010000000000000009,0.009000000000000119,0.0090000000000002,True
Will Kamala Harris win the 2028 Democratic presidential nomination?,42,0.082,0.089,0.08733333333333333,0.002674784392192279,0.912,0.922,0.9149761904761905,0.004512789928463765,1.001,1.007,1.0023095238095237,0.0021807147545891458,-0.0070000000000001,-0.0010000000000001,-0.0023095238095239023,0.002180714754589114,0.0020000000000000018,0.008000000000000007,0.006000000000000005,0.006,0,0,42,0.006999999999999992,0.010000000000000009,0.006000000000000005,0.006,True
Will Gavin Newsom win the 2028 Democratic presidential nomination?,42,0.15,0.156,0.15414285714285714,0.002552582896304968,0.845,0.853,0.8478571428571429,0.0038797248366814027,1.001,1.005,1.002,0.0014142135623731876,-0.0049999999999998,-0.0009999999999998,-0.0019999999999998383,0.00141421356237315,0.0040000000000000036,0.008000000000000007,0.0040000000000000036,0.004,0,0,42,0.006000000000000005,0.008000000000000007,0.0040000000000000036,0.004,True
Will Pete Buttigieg win the 2028 Democratic presidential nomination?,42,0.053,0.053,0.053,0.0,0.948,0.95,0.9487142857142856,0.0009699312091703661,1.001,1.003,1.0017142857142856,0.0009699312091703349,-0.0029999999999998,-0.0009999999999998,-0.0017142857142855143,0.0009699312091703453,0.0,0.0020000000000000018,0.0020000000000000018,0.002,0,0,42,0.0,0.0020000000000000018,0.0020000000000000018,0.002,True
Will Chelsea Clinton win the 2028 Democratic presidential nomination?,42,0.007,0.008,0.007976190476190477,0.0001543033499620924,0.994,0.994,0.994,0.0,1.001,1.002,1.0019761904761904,0.00015430334996211794,-0.002,-0.0009999999999998,-0.0019761904761904712,0.00015430334996212273,0.001,0.0,0.001000000000000112,0.0010000000000002,0,0,42,0.001,0.0,0.001000000000000112,0.0010000000000002,True
Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,42,0.184,0.184,0.184,0.0,0.817,0.818,0.8176666666666667,0.0004771187236137121,1.001,1.002,1.0016666666666667,0.0004771187236137913,-0.002,-0.0009999999999998,-0.0016666666666666,0.0004771187236137933,0.0,0.0010000000000000009,0.001000000000000112,0.0010000000000002,0,0,42,0.0,0.0010000000000000009,0.001000000000000112,0.0010000000000002,True
Will Hillary Clinton win the 2028 Democratic presidential nomination?,42,0.004,0.004,0.004,0.0,0.998,0.999,0.9981190476190476,0.0003277700675615324,1.002,1.003,1.0021190476190476,0.00032777006756156356,-0.0029999999999998,-0.002,-0.002119047619047595,0.0003277700675615023,0.0,0.0010000000000000009,0.0009999999999998899,0.0009999999999998,0,0,42,0.0,0.0010000000000000009,0.0009999999999998899,0.0009999999999998,True
Will Josh Shapiro win the 2028 Democratic presidential nomination?,41,0.058,0.058,0.058,0.0,0.943,0.943,0.943,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,41,0.0,0.0,0.0,0.0,False
Will Josh Shapiro win the 2028 US Presidential Election?,42,0.031,0.031,0.031,0.0,0.97,0.97,0.9700000000000001,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
Will Josh Stein win the 2028 Democratic presidential nomination?,42,0.002,0.002,0.002,0.0,0.999,0.999,0.999,0.0,1.001,1.001,1.001,0.0,-0.0009999999999998,-0.0009999999999998,-0.0009999999999998,0.0,0.0,0.0,0.0,0.0,0,0,42,0.0,0.0,0.0,0.0,False
