question,observations,yes_min,yes_max,no_min,no_max,gross_min,gross_max,net_min,net_max,max_yes_move,max_no_move,max_gross_edge_move,average_gross_edge,average_net_edge,yes_range,no_range,gross_edge_range,net_edge_range,latest_timestamp,latest_yes_ask,latest_no_ask,latest_gross_edge,latest_net_edge,yes_move,no_move,gross_edge_move,net_edge_move,signal,watchlist,watch_score,rank
"Putin out as President of Russia by December 31, 2026?",42,0.037,0.05,0.96,0.97,-0.01,-0.0009999999999998,-0.012,-0.0029999999999998,0.010000000000000002,0.010000000000000009,0.004,-0.006809523809523752,-0.008809523809523753,0.013000000000000005,0.010000000000000009,0.0090000000000002,0.0090000000000002,2026-09-21 16:04:08.516522+00:00,0.039,0.962,-0.0009999999999998,-0.0029999999999998,0.013000000000000005,0.010000000000000009,0.0090000000000002,0.0090000000000002,PRICE_MOVEMENT|EDGE_MOVEMENT,True,0.032000000000000216,1
Will Kamala Harris win the 2028 Democratic presidential nomination?,42,0.082,0.089,0.912,0.922,-0.0070000000000001,-0.0010000000000001,-0.0090000000000001,-0.0030000000000001,0.0020000000000000018,0.008000000000000007,0.006,-0.0023095238095239023,-0.004309523809523902,0.006999999999999992,0.010000000000000009,0.006,0.006,2026-09-21 16:04:01.029817+00:00,0.082,0.921,-0.0030000000000001,-0.0050000000000001,0.006999999999999992,0.010000000000000009,0.006,0.006,PRICE_MOVEMENT|EDGE_MOVEMENT,True,0.023,2
Will Gavin Newsom win the 2028 Democratic presidential nomination?,42,0.15,0.156,0.845,0.853,-0.0049999999999998,-0.0009999999999998,-0.0069999999999998,-0.0029999999999998,0.0040000000000000036,0.008000000000000007,0.004,-0.0019999999999998383,-0.003999999999999839,0.006000000000000005,0.008000000000000007,0.004,0.004,2026-09-21 16:03:59.736501+00:00,0.15,0.853,-0.0029999999999998,-0.0049999999999998,0.006000000000000005,0.008000000000000007,0.004,0.004,PRICE_MOVEMENT|EDGE_MOVEMENT,True,0.018000000000000013,3
Will Pete Buttigieg win the 2028 Democratic presidential nomination?,42,0.053,0.053,0.948,0.95,-0.0029999999999998,-0.0009999999999998,-0.0049999999999998,-0.0029999999999998,0.0,0.0020000000000000018,0.002,-0.0017142857142855143,-0.003714285714285514,0.0,0.0020000000000000018,0.002,0.0019999999999999996,2026-09-21 16:04:00.085394+00:00,0.053,0.95,-0.0029999999999998,-0.0049999999999998,0.0,0.0020000000000000018,0.002,0.0019999999999999996,NO_SIGNAL,False,0.004000000000000002,4
Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,42,0.184,0.184,0.817,0.818,-0.002,-0.0009999999999998,-0.004,-0.0029999999999998,0.0,0.0010000000000000009,0.0010000000000002,-0.0016666666666666,-0.0036666666666666,0.0,0.0010000000000000009,0.0010000000000002,0.0010000000000002,2026-09-21 16:03:59.941529+00:00,0.184,0.817,-0.0009999999999998,-0.0029999999999998,0.0,0.0010000000000000009,0.0010000000000002,0.0010000000000002,NO_SIGNAL,False,0.002000000000000201,5
Will Chelsea Clinton win the 2028 Democratic presidential nomination?,42,0.007,0.008,0.994,0.994,-0.002,-0.0009999999999998,-0.004,-0.0029999999999998,0.001,0.0,0.0010000000000002,-0.0019761904761904712,-0.003976190476190472,0.001,0.0,0.0010000000000002,0.0010000000000002,2026-09-21 16:04:05.409932+00:00,0.008,0.994,-0.002,-0.004,0.001,0.0,0.0010000000000002,0.0010000000000002,NO_SIGNAL,False,0.0020000000000002,6
Will Hillary Clinton win the 2028 Democratic presidential nomination?,42,0.004,0.004,0.998,0.999,-0.0029999999999998,-0.002,-0.0049999999999998,-0.004,0.0,0.0010000000000000009,0.0009999999999998,-0.002119047619047595,-0.004119047619047595,0.0,0.0010000000000000009,0.0009999999999998,0.0009999999999997997,2026-09-21 16:04:04.195770+00:00,0.004,0.998,-0.002,-0.004,0.0,0.0010000000000000009,0.0009999999999998,0.0009999999999997997,NO_SIGNAL,False,0.001999999999999801,7
Will Abigail Spanberger win the 2028 Democratic presidential nomination?,42,0.002,0.002,0.999,0.999,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:07.555965+00:00,0.002,0.999,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,8
Will Alexandria Ocasio-Cortez win the 2028 US Presidential Election?,42,0.131,0.131,0.87,0.87,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:09.041137+00:00,0.131,0.87,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,9
Will Andrew Yang win the 2028 Democratic presidential nomination?,42,0.002,0.002,0.999,0.999,-0.0009999999999998,-0.0009999999999998,-0.0029999999999998,-0.0029999999999998,0.0,0.0,0.0,-0.0009999999999998,-0.0029999999999998006,0.0,0.0,0.0,0.0,2026-09-21 16:04:06.028583+00:00,0.002,0.999,-0.0009999999999998,-0.0029999999999998,0.0,0.0,0.0,0.0,NO_SIGNAL,False,0.0,10
