question,observations,average_yes_ask,average_no_ask,average_combined_ask,minimum_combined_ask,maximum_gross_edge,gross_arbitrage_observations,research_rank
Will Gavin Newsom win the 2028 Democratic presidential nomination?,3,0.156,0.845,1.001,1.001,-0.0009999999999998,0,1
Will Josh Shapiro win the 2028 Democratic presidential nomination?,3,0.058,0.943,1.001,1.001,-0.0009999999999998,0,2
Will Pete Buttigieg win the 2028 Democratic presidential nomination?,3,0.053,0.948,1.001,1.001,-0.0009999999999998,0,3
Xi Jinping out before 2027?,3,0.039,0.962,1.001,1.001,-0.0009999999999998,0,4
Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,3,0.184,0.818,1.002,1.002,-0.002,0,5
"Putin out as President of Russia by December 31, 2026?",1,,,,,,0,6
Will Abigail Spanberger win the 2028 Democratic presidential nomination?,1,,,,,,0,7
Will Abigail Spanberger win the 2028 US Presidential Election?,1,,,,,,0,8
Will Adam Schiff win the 2028 Democratic presidential nomination?,1,,,,,,0,9
Will Adam Schiff win the 2028 US Presidential Election?,1,,,,,,0,10
Will Alex Padilla win the 2028 Democratic presidential nomination?,1,,,,,,0,11
Will Alex Padilla win the 2028 US Presidential Election?,1,,,,,,0,12
Will Alexandria Ocasio-Cortez win the 2028 US Presidential Election?,1,,,,,,0,13
Will Andrew Yang win the 2028 Democratic presidential nomination?,1,,,,,,0,14
Will Andy Beshear win the 2028 Democratic presidential nomination?,1,,,,,,0,15
Will Andy Beshear win the 2028 US Presidential Election?,1,,,,,,0,16
Will Barack Obama win the 2028 Democratic presidential nomination?,1,,,,,,0,17
Will Bernie Sanders win the 2028 Democratic presidential nomination?,1,,,,,,0,18
Will Beto O’Rourke win the 2028 Democratic presidential nomination?,1,,,,,,0,19
Will Candace Owens win the 2028 US Presidential Election?,1,,,,,,0,20
Will Chelsea Clinton win the 2028 Democratic presidential nomination?,1,,,,,,0,21
Will Chris Murphy win the 2028 Democratic presidential nomination?,1,,,,,,0,22
Will Cory Booker win the 2028 Democratic presidential nomination?,1,,,,,,0,23
Will Donald Trump Jr. win the 2028 US Presidential Election?,1,,,,,,0,24
Will Donald Trump win the 2028 US Presidential Election?,1,,,,,,0,25
Will Doug Burgum win the 2028 US Presidential Election?,1,,,,,,0,26
Will Dwayne 'The Rock' Johnson win the 2028 Democratic presidential nomination?,1,,,,,,0,27
Will Dwayne 'The Rock' Johnson win the 2028 US Presidential Election?,1,,,,,,0,28
Will Elissa Slotkin win the 2028 Democratic presidential nomination?,1,,,,,,0,29
Will Elissa Slotkin win the 2028 US Presidential Election?,1,,,,,,0,30
Will Elon Musk win the 2028 US Presidential Election?,1,,,,,,0,31
Will Eric Trump win the 2028 US Presidential Election?,1,,,,,,0,32
Will Gavin Newsom win the 2028 US Presidential Election?,1,,,,,,0,33
Will George Clooney win the 2028 Democratic presidential nomination?,1,,,,,,0,34
Will Gina Raimondo win the 2028 Democratic presidential nomination?,1,,,,,,0,35
Will Glenn Youngkin win the 2028 US Presidential Election?,1,,,,,,0,36
Will Graham Platner win the 2028 Democratic presidential nomination?,1,,,,,,0,37
Will Greg Abbott win the 2028 US Presidential Election?,1,,,,,,0,38
Will Gretchen Whitmer win the 2028 Democratic presidential nomination?,1,,,,,,0,39
Will Gretchen Whitmer win the 2028 US Presidential Election?,1,,,,,,0,40
Will Hakeem Jeffries win the 2028 Democratic presidential nomination?,1,,,,,,0,41
Will Hakeem Jeffries win the 2028 US Presidential Election?,1,,,,,,0,42
Will Hillary Clinton win the 2028 Democratic presidential nomination?,1,,,,,,0,43
Will Hunter Biden win the 2028 Democratic presidential nomination?,1,,,,,,0,44
Will Ivanka Trump win the 2028 US Presidential Election?,1,,,,,,0,45
Will J.B. Pritzker win the 2028 Democratic presidential nomination?,1,,,,,,0,46
Will JB Pritzker win the 2028 US Presidential Election?,1,,,,,,0,47
Will JD Vance win the 2028 US Presidential Election?,1,,,,,,0,48
Will Jalen Brunson win the 2028 US Presidential Election?,1,,,,,,0,49
Will James Talarico win the 2028 Democratic presidential nomination?,1,,,,,,0,50
Will James Talarico win the 2028 US Presidential Election?,1,,,,,,0,51
Will Jamie Dimon win the 2028 US Presidential Election?,1,,,,,,0,52
Will Jared Polis win the 2028 Democratic presidential nomination?,1,,,,,,0,53
Will Jasmine Crockett win the 2028 Democratic presidential nomination?,1,,,,,,0,54
Will John Fetterman win the 2028 Democratic presidential nomination?,1,,,,,,0,55
Will Jon Ossoff win the 2028 Democratic presidential nomination?,1,,,,,,0,56
Will Jon Ossoff win the 2028 US Presidential Election?,1,,,,,,0,57
Will Jon Stewart win the 2028 Democratic presidential nomination?,1,,,,,,0,58
Will Josh Shapiro win the 2028 US Presidential Election?,1,,,,,,0,59
Will Josh Stein win the 2028 Democratic presidential nomination?,1,,,,,,0,60
Will Josh Stein win the 2028 US Presidential Election?,1,,,,,,0,61
Will Kamala Harris win the 2028 Democratic presidential nomination?,1,,,,,,0,62
Will Kamala Harris win the 2028 US Presidential Election?,1,,,,,,0,63
Will Kim Kardashian win the 2028 Democratic presidential nomination?,1,,,,,,0,64
Will Kim Kardashian win the 2028 US Presidential Election?,1,,,,,,0,65
Will LeBron James win the 2028 Democratic presidential nomination?,1,,,,,,0,66
Will LeBron James win the 2028 US Presidential Election?,1,,,,,,0,67
Will Liz Cheney win the 2028 Democratic presidential nomination?,1,,,,,,0,68
Will Marco Rubio win the 2028 US Presidential Election?,1,,,,,,0,69
Will Mark Cuban win the 2028 Democratic presidential nomination?,1,,,,,,0,70
Will Mark Kelly win the 2028 Democratic presidential nomination?,1,,,,,,0,71
Will Michelle Obama win the 2028 Democratic presidential nomination?,1,,,,,,0,72
Will Michelle Obama win the 2028 US Presidential Election?,1,,,,,,0,73
Will Mike Johnson win the 2028 US Presidential Election?,1,,,,,,0,74
Will MrBeast win the 2028 Democratic presidential nomination?,1,,,,,,0,75
Will Nikki Haley win the 2028 US Presidential Election?,1,,,,,,0,76
Will Oprah Winfrey win the 2028 Democratic presidential nomination?,1,,,,,,0,77
Will Pete Buttigieg win the 2028 US Presidential Election?,1,,,,,,0,78
Will Pete Hegseth win the 2028 US Presidential Election?,1,,,,,,0,79
Will Phil Murphy win the 2028 Democratic presidential nomination?,1,,,,,,0,80
Will Rahm Emanuel win the 2028 Democratic presidential nomination?,1,,,,,,0,81
Will Raphael Warnock win the 2028 Democratic presidential nomination?,1,,,,,,0,82
Will Ro Khanna win the 2028 Democratic presidential nomination?,1,,,,,,0,83
Will Ro Khanna win the 2028 US Presidential Election?,1,,,,,,0,84
Will Ron DeSantis win the 2028 US Presidential Election?,1,,,,,,0,85
Will Roy Cooper win the 2028 Democratic presidential nomination?,1,,,,,,0,86
Will Ruben Gallego win the 2028 Democratic presidential nomination?,1,,,,,,0,87
Will Stephen A. Smith win the 2028 Democratic presidential nomination?,1,,,,,,0,88
Will Stephen Smith win the 2028 US Presidential Election?,1,,,,,,0,89
Will Thomas Massie win the 2028 US Presidential Election?,1,,,,,,0,90
Will Tim Scott win the 2028 US Presidential Election?,1,,,,,,0,91
Will Tim Walz win the 2028 Democratic presidential nomination?,1,,,,,,0,92
Will Tim Walz win the 2028 US Presidential Election?,1,,,,,,0,93
Will Tucker Carlson win the 2028 US Presidential Election?,1,,,,,,0,94
Will Tulsi Gabbard win the 2028 US Presidential Election?,1,,,,,,0,95
Will Vivek Ramaswamy win the 2028 US Presidential Election?,1,,,,,,0,96
Will Wes Moore win the 2028 Democratic presidential nomination?,1,,,,,,0,97
Will Wes Moore win the 2028 US Presidential Election?,1,,,,,,0,98
Will Zohran Mamdani win the 2028 Democratic presidential nomination?,1,,,,,,0,99
Will Zohran Mamdani win the 2028 US Presidential Election?,1,,,,,,0,100
