timestamp,question,yes_bid,yes_ask,no_bid,no_ask,combined_yes_no_ask,gross_edge,estimated_fees,estimated_slippage,net_edge,complete_orderbook,opportunity,status
2026-09-21T13:33:57.891774+00:00,Xi Jinping out before 2027?,0.038,0.039,0.961,0.962,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:33:58.091282+00:00,Will Gavin Newsom win the 2028 Democratic presidential nomination?,0.155,0.156,0.844,0.845,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:33:58.233330+00:00,Will Alexandria Ocasio-Cortez win the 2028 Democratic presidential nomination?,0.182,0.184,0.816,0.818,1.002,-0.0020000000000000018,0.001002,0.001002,-0.004004000000000002,True,False,NO_SIGNAL
2026-09-21T13:33:58.402839+00:00,Will Pete Buttigieg win the 2028 Democratic presidential nomination?,0.052,0.053,0.947,0.948,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:33:58.615415+00:00,Will Josh Shapiro win the 2028 Democratic presidential nomination?,0.057,0.058,0.942,0.943,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:33:58.763557+00:00,Will Wes Moore win the 2028 Democratic presidential nomination?,0.017,0.018,0.982,0.983,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:33:58.929831+00:00,Will Stephen A. Smith win the 2028 Democratic presidential nomination?,0.001,0.002,0.998,0.999,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:33:59.140123+00:00,Will Kamala Harris win the 2028 Democratic presidential nomination?,0.088,0.089,0.911,0.912,1.0010000000000001,-0.001000000000000112,0.0010010000000000002,0.0010010000000000002,-0.0030020000000001122,True,False,NO_SIGNAL
2026-09-21T13:33:59.293341+00:00,Will Gretchen Whitmer win the 2028 Democratic presidential nomination?,0.004,0.005,0.995,0.996,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:33:59.444864+00:00,Will Andy Beshear win the 2028 Democratic presidential nomination?,0.025,0.026,0.974,0.975,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:33:59.583122+00:00,Will Jon Ossoff win the 2028 Democratic presidential nomination?,0.171,0.172,0.828,0.829,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:33:59.798902+00:00,Will Mark Cuban win the 2028 Democratic presidential nomination?,0.003,0.004,0.996,0.997,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:33:59.941324+00:00,Will J.B. Pritzker win the 2028 Democratic presidential nomination?,0.012,0.013,0.987,0.988,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:00.089805+00:00,Will Raphael Warnock win the 2028 Democratic presidential nomination?,0.005,0.006,0.994,0.995,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:00.322982+00:00,Will Cory Booker win the 2028 Democratic presidential nomination?,0.005,0.006,0.994,0.995,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:00.448454+00:00,Will Tim Walz win the 2028 Democratic presidential nomination?,,,,,,,,,,False,False,incomplete_orderbook
2026-09-21T13:34:00.606849+00:00,Will Michelle Obama win the 2028 Democratic presidential nomination?,0.002,0.003,0.997,0.998,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
2026-09-21T13:34:00.813882+00:00,Will Mark Kelly win the 2028 Democratic presidential nomination?,0.03,0.031,0.969,0.97,1.001,-0.0009999999999998899,0.001001,0.001001,-0.00300199999999989,True,False,NO_SIGNAL
